,Candidate,Party,Criminal.Cases,Education,Age,Total.Assets,Liabilities,Constituency,State,District,Year
13179,NUKLUTOSHI,NPF,0,Graduate,43,409745000,0,ARKAKONG,NAGALAND,MOKOKCHUNG,2008
13180,NUNGSANGYAPANG,INC,0,Graduate,52,938842,0,IMPUR,NAGALAND,MOKOKCHUNG,2008
13181,I. IMKONG,INC,0,Graduate,66,143222828,0,JANGPETKONG,NAGALAND,MOKOKCHUNG,2008
13182,IMKONG L. IMCHEN,NPF,0,Post Graduate,58,12036000,0,KORIDANG,NAGALAND,MOKOKCHUNG,2008
13183,C. APOK JAMIR,INC,0,Graduate Professional,45,62030000,0,MOKOKCHUNG TOWN,NAGALAND,MOKOKCHUNG,2008
13184,DR. NGANGSHI K. AO,IND,0,Post Graduate,66,2826328,0,MONGUYA,NAGALAND,MOKOKCHUNG,2008
13185,L. TEMJEN JAMIR,NPF,0,10th Pass,56,1950000,0,TULI,NAGALAND,MOKOKCHUNG,2008
13186,NYEIWANG,NPF,0,Graduate,56,780000,0,ABOI,NAGALAND,MON,2008
13187,E.E. PANGTEANG,NPF,0,12th Pass,57,885000,0,MOKA,NAGALAND,MON,2008
13188,CHINGWANG,INC,0,Graduate,64,45387835,2412983,MON TOWN,NAGALAND,MON,2008
13189,KONGAM,INC,0,8th Pass,56,3150356,0,PHOMCHING,NAGALAND,MON,2008
13190,LANPHA,INC,0,10th Pass,57,3613812,0,TAPI,NAGALAND,MON,2008
13191,C.L. JOHN,NPF,0,8th Pass,42,750000,0,TEHOK,NAGALAND,MON,2008
13192,ALOH,INC,0,10th Pass,56,1930000,0,TIZIT,NAGALAND,MON,2008
13193,T. ALOH,NPF,0,10th Pass,66,1930000,0,TIZIT,NAGALAND,MON,2008
13194,NAIBA,NPF,0,Graduate,43,889000,0,TOBU,NAGALAND,MON,2008
13195,M.C. KONYAK,BJP,0,Graduate,55,1064000,0,WAKCHING,NAGALAND,MON,2008
13196,T.R. ZELIANG,NPF,0,Graduate,51,5624000,0,PEREN,NAGALAND,PEREN,2008
13197,TARIE,INC,0,10th Pass,0,1100000,0,TENNING,NAGALAND,PEREN,2008
13198,CHOTISUH SAZO,IND,0,Graduate,46,232020,0,CHAZOUBA,NAGALAND,PHEK,2008
13199,DEO NUKHU,INC,0,Post Graduate,58,1638970,0,CHIZAMI,NAGALAND,PHEK,2008
13200,DEO NUKHU,NPF,0,Post Graduate,58,1638970,0,CHIZAMI,NAGALAND,PHEK,2008
13201,YITACHU,NPF,0,Graduate Professional,41,16384072,0,MELURI,NAGALAND,PHEK,2008
13202,NEIBA,NPF,0,12th Pass,41,28313774,0,PFUTSERO,NAGALAND,PHEK,2008
13203,KUZHOLUZO,NPF,0,Graduate,43,23564157,0,PHEK,NAGALAND,PHEK,2008
13204,JOSHUA,INC,0,Post Graduate,54,9990000,0,PUGHOBOTO,NAGALAND,PUGHOBOTO,2008
13205,S.K. SANGTAM,INC,0,Post Graduate,59,281205,0,LONGKHIM CHARE,NAGALAND,TUENSANG,2008
13206,P. LONGON,NPF,0,Graduate,41,6793645,0,NOKLAK,NAGALAND,TUENSANG,2008
13207,R. TOHANBA,NPF,0,Post Graduate,51,16700000,0,SHAMTORR-CHESSORE,NAGALAND,TUENSANG,2008
13208,S. HENO,NPF,0,Not Given,61,5418773,0,THONOKNYU,NAGALAND,TUENSANG,2008
13209,P. CHUBA,INC,0,Graduate,44,6.00E+05,0,TUENSANG SADAR-I,NAGALAND,TUENSANG,2008
13210,KEJONG,INC,0,8th Pass,72,1385000,0,TUENSANG SADAR-II,NAGALAND,TUENSANG,2008
13211,KEJONG,NPF,0,5th Pass,73,1050000,0,TUENSANG SADAR-II,NAGALAND,TUENSANG,2008
13212,OCHUMO KITHAN,NPF,0,Graduate Professional,63,5200000,0,BHANDARI,NAGALAND,WOKHA,2008
13213,RALANTHUNG,NPF,0,Post Graduate,56,4250000,0,SANIS,NAGALAND,WOKHA,2008
13214,YANTHUNGO,BJP,0,12th Pass,52,812000,0,TYUI,NAGALAND,WOKHA,2008
13215,DR. CHUMBEN MURRY,NCP,0,Graduate Professional,45,3147038,0,WOKHA,NAGALAND,WOKHA,2008
13216,TOKHEHO,INC,0,Graduate,52,22515325,0,AGHUNATO,NAGALAND,ZUNHEBOTO,2008
13217,KHETO,INC,0,Graduate,57,5160000,0,AKULUTO,NAGALAND,ZUNHEBOTO,2008
13218,DOSHEHE Y. SEMA,NPF,0,Post Graduate,51,5927786,0,ATOIZU,NAGALAND,ZUNHEBOTO,2008
13219,G. KAITO,NPF,0,10th Pass,59,2199073,0,SATAKHA,NAGALAND,ZUNHEBOTO,2008
13220,SHETOYI,IND,0,12th Pass,49,61540000,0,SURUHUTO,NAGALAND,ZUNHEBOTO,2008
13221,DR. K.C. NIHOSHE,IND,0,Graduate Professional,57,1187815,0,ZUNHEBOTO,NAGALAND,ZUNHEBOTO,2008
13222,Vasudev Devnani,BJP,0,Graduate Professional,60,8968914,0,AJMER NORTH,RAJASTHAN,AJMER,2008
13223,Anita Bhadel,BJP,0,Post Graduate,35,2587439,363296,AJMER SOUTH,RAJASTHAN,AJMER,2008
13224,Shankar Singh,BJP,0,10th Pass,53,6192490,665287,BEAWAR,RAJASTHAN,AJMER,2008
13225,Raghunandan,INC,0,Doctorate,50,6523500,650000,KEKRI,RAJASTHAN,AJMER,2008
13226,Brahmdev,IND,3,8th Pass,49,8456969,1.00E+06,MASUDA,RAJASTHAN,AJMER,2008
13227,Mahendra Singh,INC,0,8th Pass,51,2835653,214094,NASIRABAD,RAJASTHAN,AJMER,2008
13228,Naseem Akthar Insaf,INC,0,Graduate Professional,39,4766101,0,PUSHKAR,RAJASTHAN,AJMER,2008
13229,Tika Ram,INC,0,12th Pass,28,8872837,1434,ALWAR RURAL,RAJASTHAN,ALWAR,2008
13230,Banwari Lal Singhal,BJP,1,12th Pass,44,5846220,1470245,ALWAR URBAN,RAJASTHAN,ALWAR,2008
13231,Rohitash Kumar,BJP,0,10th Pass,59,8584617,0,BANSUR,RAJASTHAN,ALWAR,2008
13232,Dr. Jaswant Singh,BJP,0,Post Graduate,55,20150000,473281,BEHROR,RAJASTHAN,ALWAR,2008
13233,Babu Lal,BJP,0,Graduate,57,6785000,3.00E+05,KATHUMAR,RAJASTHAN,ALWAR,2008
13234,Ramhaet Singh,BJP,0,Graduate Professional,48,10405438,0,KISHANGARH BAS,RAJASTHAN,ALWAR,2008
13235,Major O. P. Yadav,INC,0,Others,65,48372466,1300000,MUNDAWAR,RAJASTHAN,ALWAR,2008
13236,Suraj Bhan,SP,0,Post Graduate,55,1200000,0,RAJGARH-LAXMANGARH,RAJASTHAN,ALWAR,2008
13237,Gyan Dev Ahuja,BJP,1,12th Pass,58,3489826,0,RAMGARH,RAJASTHAN,ALWAR,2008
13238,Hemsingh Bhadana,BJP,0,Post Graduate,0,4225000,1730000,THANAGAZI,RAJASTHAN,ALWAR,2008
13239,Aimaduddin Urf Durru Miyan,INC,0,12th Pass,64,36724606,0,TIJARA,RAJASTHAN,ALWAR,2008
13240,Mahendrajeet Singh,INC,1,Graduate,48,9127702,2097670,BAGIDORA,RAJASTHAN,BANSWARA,2008
13241,Arjun Singh Bamaniya,INC,0,12th Pass,45,12636303,3224630,BANSWARA,RAJASTHAN,BANSWARA,2008
13242,Kanta Garasiya,INC,2,Post Graduate,37,5985975,1397401,GARHI,RAJASTHAN,BANSWARA,2008
13243,Nanalal,IND,0,8th Pass,56,3644375,0,GHATOL,RAJASTHAN,BANSWARA,2008
13244,Fateh Singh,JD(U),0,8th Pass,76,2539952,0,KUSHALGARH,RAJASTHAN,BANSWARA,2008
13245,Pramod Kumar(Bhaya),INC,0,12th Pass,43,53673343,2974627,ANTA,RAJASTHAN,BARAN,2008
13246,Panachand,INC,2,Graduate,34,955747,0,BARAN-ATRU,RAJASTHAN,BARAN,2008
13247,Karan Singh,INC,1,Graduate,47,12740073,364775,CHHABRA,RAJASTHAN,BARAN,2008
13248,Nirmala,INC,0,8th Pass,32,588750,0,KISHANGANJ,RAJASTHAN,BARAN,2008
13249,Mewaram Jain,INC,0,10th Pass,55,20903266,0,BARMER,RAJASTHAN,BARMER,2008
13250,Col. Sonaram,INC,1,Graduate Professional,65,31126922,1372856,BAYTOO,RAJASTHAN,BARMER,2008
13251,Padmaram,INC,0,Graduate,45,2844795,160838,CHOHTAN,RAJASTHAN,BARMER,2008
13252,Hemaram Choudhary,INC,0,Graduate Professional,60,26991224,40000,GUDHA MALANI,RAJASTHAN,BARMER,2008
13253,Madan,INC,0,Others,32,5448057,427000,PACHPADRA,RAJASTHAN,BARMER,2008
13254,Ameen Khan,INC,0,Literate,68,1188285,4.00E+05,SHEO,RAJASTHAN,BARMER,2008
13255,Kansingh,BJP,0,Graduate Professional,64,9670000,1.00E+05,SIWANA,RAJASTHAN,BARMER,2008
13256,GYARSARAM,BJP,0,Graduate,53,2048751,0,BAYANA,RAJASTHAN,BHARATPUR,2008
13257,VIJAY BANSAL,BJP,0,12th Pass,54,38862186,1721193,BHARATPUR,RAJASTHAN,BHARATPUR,2008
13258,DR. DIGAMBER SINGH,BJP,0,Graduate Professional,57,16596213,108000,DEEG KUMHER,RAJASTHAN,BHARATPUR,2008
13259,ZAHIDA,INC,2,Graduate Professional,40,16375000,2729693,KAMAN,RAJASTHAN,BHARATPUR,2008
13260,KRISHNENDRA KAUR (DEEPA),BJP,0,12th Pass,54,18207000,1250000,NADBAI,RAJASTHAN,BHARATPUR,2008
13261,ANITA,BJP,0,Graduate Professional,43,13170000,3.00E+05,NAGAR,RAJASTHAN,BHARATPUR,2008
13262,BAHADUR SINGH,BJP,0,Not Given,48,6025216,850000,WEIR,RAJASTHAN,BHARATPUR,2008
13263,RAMLAL GURJAR,BJP,0,12th Pass,56,3768455,358358,ASIND,RAJASTHAN,BHILWARA,2008
13264,VITTHAL SHANKAR AVASTHI,BJP,0,Graduate,48,4589837,0,BHILWARA,RAJASTHAN,BHILWARA,2008
13265,SHIVJIRAM MEENA,BJP,1,Post Graduate,58,10384194,3861240,JAHAZPUR,RAJASTHAN,BHILWARA,2008
13266,RAM LAL,INC,0,12th Pass,43,4323688,1617235,MANDAL,RAJASTHAN,BHILWARA,2008
13267,PRADEEP KUMAR SINGH,INC,0,Graduate,62,3908400,228000,MANDALGARH,RAJASTHAN,BHILWARA,2008
13268,KAILASH CHANDRA TRIVEDI,INC,0,10th Pass,56,3380700,0,SAHARA,RAJASTHAN,BHILWARA,2008
13269,MAHAVEER PRASAD MOCHI,INC,0,Graduate,51,1620761,50000,SHAHPURA,RAJASTHAN,BHILWARA,2008
13270,SIDHI KUMARI,BJP,0,Post Graduate,35,15576365,1292086,BIKANER EAST,RAJASTHAN,BIKANER,2008
13271,GOPAL KRISHAN,BJP,0,Doctorate,72,150378000,1882000,BIKANER WEST,RAJASTHAN,BIKANER,2008
13272,MANGLARAM,INC,0,8th Pass,57,13830326,225519,DUNGARGARH,RAJASTHAN,BIKANER,2008
13273,VISHWANATH,BJP,0,Graduate Professional,42,4182000,1875000,KHAJUWALA,RAJASTHAN,BIKANER,2008
13274,DEVI SINGH BHATI,BJP,0,12th Pass,62,4087614,62105,KOLAYAT,RAJASTHAN,BIKANER,2008
13275,VIRENDRA BENIWAL,INC,0,Post Graduate,48,7801546,126029,LUNKARANSAR,RAJASTHAN,BIKANER,2008
13276,KANHAIYA LAL JHANWAR,IND,0,8th Pass,58,44381000,15980000,NOKHA,RAJASTHAN,BIKANER,2008
13277,ASHOK DOGARA,BJP,0,Others,55,9504298,380000,BUNDI,RAJASTHAN,BUNDI,2008
13278,PRABHU LAL,BJP,0,Graduate Professional,54,4097497,5.00E+05,HINDOLI,RAJASTHAN,BUNDI,2008
13279,C L PREMI,INC,0,Graduate,54,6426816,528145,KESHORAIPATAN,RAJASTHAN,BUNDI,2008
13280,PRAKASH CHANDRA CHAUDHARY,INC,3,12th Pass,51,92488000,0,BARI SADRI,RAJASTHAN,CHITTORGARH,2008
13281,RAJENDRA SINGH,INC,0,Graduate,46,13467782,75000,BEGUN,RAJASTHAN,CHITTORGARH,2008
13282,SURENDRA SINGH,INC,0,Graduate,55,12541989,408015,CHITTORGARH,RAJASTHAN,CHITTORGARH,2008
13283,SHANKAR,INC,0,Literate,48,2419671,0,KAPASAN,RAJASTHAN,CHITTORGARH,2008
13284,ANJANA UDAILAL,INC,0,12th Pass,59,361993770,0,NIMBAHERA,RAJASTHAN,CHITTORGARH,2008
13285,HAZI MAQBOOL,INC,0,Literate,64,23185650,0,CHURU,RAJASTHAN,CHURU,2008
13286,RAJ KUMAR RINWA,BJP,0,Graduate Professional,55,14808125,624030,RATANGARH,RAJASTHAN,CHURU,2008
13287,KAMLA KASWAN,BJP,0,Graduate Professional,63,21883996,274348,SADULPUR,RAJASTHAN,CHURU,2008
13288,ASHOK KUMAR,BJP,0,Graduate,48,4135563,0,SARDARSHAHAR,RAJASTHAN,CHURU,2008
13289,MASTER BHANWARLAL,INC,0,Post Graduate,60,11345818,0,SUJANGARH,RAJASTHAN,CHURU,2008
13290,RAJENDRA RATHORE,BJP,0,Post Graduate,55,74703173,0,TARANAGAR,RAJASTHAN,CHURU,2008
13291,RAM KISHOR,IND,0,Graduate Professional,53,711549,0,BANDIKUI,RAJASTHAN,DAUSA,2008
13292,MURARI LAL MEENA,BSP,0,Graduate Professional,46,21525253,0,DAUSA,RAJASTHAN,DAUSA,2008
13293,PARSADI LAL,IND,3,10th Pass,58,4515000,0,LALSOT,RAJASTHAN,DAUSA,2008
13294,GOLAMA,IND,0,Illiterate,52,6527805,0,MAHUWA,RAJASTHAN,DAUSA,2008
13295,MAMTA BHUPESH,INC,0,Graduate,35,3139906,0,SIKRAI,RAJASTHAN,DAUSA,2008
13296,GIRRAJ SINGH,BSP,1,5th Pass,33,2286000,1585677,BARI,RAJASTHAN,DHOLPUR,2008
13297,SUKHRAM,BJP,0,Post Graduate,42,8.00E+05,0,BASERI,RAJASTHAN,DHOLPUR,2008
13298,ABDUL SAGEER KHAN,BJP,0,Graduate Professional,53,32450000,1400000,DHOLPUR,RAJASTHAN,DHOLPUR,2008
13299,RAVEENDRA SINGH BOHARA,BJP,0,Graduate Professional,65,39877084,2000,RAJAKHERA,RAJASTHAN,DHOLPUR,2008
13300,RAIYAJI,INC,0,8th Pass,61,2592949,0,ASPUR,RAJASTHAN,DUNGARPUR,2008
13301,SHANKER LAL AHARI,INC,0,12th Pass,62,1772000,0,CHORASI,RAJASTHAN,DUNGARPUR,2008
13302,LAL SHANKER GATIYA,INC,0,10th Pass,55,5292250,2525000,DUNGARPUR,RAJASTHAN,DUNGARPUR,2008
13303,SURENDRA KUMAR,INC,0,Graduate,56,11289966,58000,SAGWARA,RAJASTHAN,DUNGARPUR,2008
13304,PAWAN KUMAR DUGGAL,CPM,13,Graduate,32,6099,0,ANUPGARH,RAJASTHAN,GANGANAGAR,2008
13305,RADHEY SHYAM GANGANAGAR,BJP,0,Literate,70,23963658,1.00E+06,GANGANAGAR,RAJASTHAN,GANGANAGAR,2008
13306,GURMEET SINGH KUNNAR,IND,1,12th Pass,61,87812862,0,KARANPUR,RAJASTHAN,GANGANAGAR,2008
13307,DAULAT RAJ,INC,0,Post Graduate,41,3745000,1.00E+05,RAISINGHNAGAR,RAJASTHAN,GANGANAGAR,2008
13308,SANTOSH KUMAR SAHARAN,INC,0,Graduate,67,18159866,95906,SADULSHAHAR,RAJASTHAN,GANGANAGAR,2008
13309,GANGA JAL,INC,0,12th Pass,66,68841412,0,SURATGARH,RAJASTHAN,GANGANAGAR,2008
13310,JAIDEEP,IND,0,Graduate,42,5189893,1758172,BHADRA,RAJASTHAN,HANUMANGARH,2008
13311,"VINOD KUMAR ""LILAWALI""",INC,0,8th Pass,61,19372728,0,HANUMANGARH,RAJASTHAN,HANUMANGARH,2008
13312,ABHISHEK MATORIA,BJP,0,Post Graduate,25,31316665,458595,NOHAR,RAJASTHAN,HANUMANGARH,2008
13313,AAD RAM,INC,0,8th Pass,71,4900338,0,PILIBANGA,RAJASTHAN,HANUMANGARH,2008
13314,PARAM NAVADEEP,INC,0,Graduate Professional,45,322151648,1851385,SANGARIA,RAJASTHAN,HANUMANGARH,2008
13315,ASHOK PARNAMI,BJP,0,Graduate,54,36607165,16387176,ADARSH NAGAR,RAJASTHAN,JAIPUR,2008
13316,GANGA SAHAY,INC,0,Graduate,52,44650072,2624222,AMBER,RAJASTHAN,JAIPUR,2008
13317,GANGA DEVI,INC,0,Literate,50,31431762,477054,BAGRU,RAJASTHAN,JAIPUR,2008
13318,ANJU DEVI DHANKA,IND,0,Graduate,32,3166000,0,BASSI,RAJASTHAN,JAIPUR,2008
13319,PROMILA,BJP,0,12th Pass,38,3653752,0,CHAKSU,RAJASTHAN,JAIPUR,2008
13320,BHAGWAN SAHAY SAINI,INC,0,Graduate,55,4508264,0,CHOMU,RAJASTHAN,JAIPUR,2008
13321,PRATAP SINGH KHACHARIYAWAS,INC,1,Post Graduate,39,14586428,3.00E+06,CIVIL LINES,RAJASTHAN,JAIPUR,2008
13322,BABU LAL NAGAR,INC,0,Graduate Professional,48,13751590,1898956,DUDU,RAJASTHAN,JAIPUR,2008
13323,BRIJ KISHORE SHARMA,INC,0,12th Pass,62,35936252,0,HAWAMAHAL,RAJASTHAN,JAIPUR,2008
13324,GOPAL MEENA,INC,0,12th Pass,33,23719383,0,JAMWA RAMGARH,RAJASTHAN,JAIPUR,2008
13325,RAJPAL SINGH SHEKHAWAT,BJP,0,Not Given,49,15291000,327589,JHOTWARA,RAJASTHAN,JAIPUR,2008
13326,Mohan Lal Gupta,BJP,0,Graduate Professional,53,24268527,0,KISHANPOLE,RAJASTHAN,JAIPUR,2008
13327,RAMSWAROOP,LSWP,1,10th Pass,32,17306000,450000,KOTPUTLI,RAJASTHAN,JAIPUR,2008
13328,KALI CHARAN SARAFF,BJP,1,Post Graduate,57,20293472,2158253,MALVIYA NAGAR,RAJASTHAN,JAIPUR,2008
13329,NIRMAL KUMAWAT,BJP,0,10th Pass,27,17465675,0,PHULERA,RAJASTHAN,JAIPUR,2008
13330,GHANSHYAM TIWARI,BJP,0,Graduate Professional,61,40209637,7949963,SANGANER,RAJASTHAN,JAIPUR,2008
13331,RAO RAJENDRA SINGH,BJP,0,Graduate,50,179112000,1.00E+06,SHAHPURA,RAJASTHAN,JAIPUR,2008
13332,NARPAT SINGH RAJVI,BJP,0,Post Graduate,57,23403227,0,VIDHYADHAR NAGAR,RAJASTHAN,JAIPUR,2008
13333,PHOOL CHAND,BJP,0,Doctorate,57,8206097,0,VIRATNAGAR,RAJASTHAN,JAIPUR,2008
13334,CHHOTU SINGH,BJP,0,10th Pass,53,2677521,0,JAISALMER,RAJASTHAN,JAISALMER,2008
13335,BHAG RAJ CHOWDHARY,INC,0,Graduate Professional,72,4222401,0,AHORE,RAJASTHAN,JALORE,2008
13336,POORA RAM CHOUDHARY,BJP,0,5th Pass,53,14765353,0,BHINMAL,RAJASTHAN,JALORE,2008
13337,RATAN,INC,0,12th Pass,34,3473785,41000,RANIWARA,RAJASTHAN,JALORE,2008
13338,JEEVARAM CHOUDHARY,IND,0,8th Pass,52,24858703,0,SANCHORE,RAJASTHAN,JALORE,2008
13339,MADANLAL,INC,0,12th Pass,55,2363785,60906,DAG,RAJASTHAN,JHALAWAR,2008
13340,VASUNDHARA RAJE,BJP,0,Graduate,55,32122741,0,JHALRAPATAN,RAJASTHAN,JHALAWAR,2008
13341,ANIL KUMAR,BJP,1,12th Pass,41,14010887,450000,KHANPUR,RAJASTHAN,JHALAWAR,2008
13342,KAILASH CHAND MEENA,INC,1,10th Pass,32,17342500,2090000,MANOHAR THANA,RAJASTHAN,JHALAWAR,2008
13343,BRIJENDRA SINGH OLA,INC,0,Post Graduate,58,17321199,1450000,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,2008
13344,JITENDRA SINGH,INC,0,Graduate Professional,62,22292390,550000,KHETRI,RAJASTHAN,JHUNJHUNU,2008
13345,RITA CHOUDHARY,INC,0,Post Graduate,36,281651,4200000,MANDAWA,RAJASTHAN,JHUNJHUNU,2008
13346,DR. RAJKUMAR SHARMA,BSP,7,Doctorate,35,404372,291000,NAWALGARH,RAJASTHAN,JHUNJHUNU,2008
13347,SUNDER LAL,BJP,0,Literate,74,9516093,0,PILANI,RAJASTHAN,JHUNJHUNU,2008
13348,SHARWAN KUMAR,INC,1,12th Pass,54,4664630,0,SURAJGARH,RAJASTHAN,JHUNJHUNU,2008
13349,RAJENDRA SINGH,BSP,7,12th Pass,41,1569356,0,UDAIPURWATI,RAJASTHAN,JHUNJHUNU,2008
13350,KAMSA,BJP,0,5th Pass,39,171827,0,BHOPALGARH,RAJASTHAN,JODHPUR,2008
13351,ARJUN LAL,BJP,0,Others,48,6124500,0,BILARA,RAJASTHAN,JODHPUR,2008
13352,KAILASH BHANSALI,BJP,0,Graduate Professional,64,20291941,0,JODHPUR,RAJASTHAN,JODHPUR,2008
13353,GAJENDRA SINGH KHINVSAR,BJP,0,Graduate Professional,51,35810010,0,LOHAWAT,RAJASTHAN,JODHPUR,2008
13354,MALKHAN SINGH,INC,0,Post Graduate,49,47501597,54151937,LUNI,RAJASTHAN,JODHPUR,2008
13355,MAHIPAL MADERANA,INC,0,Graduate Professional,58,6153439,0,OSIAN,RAJASTHAN,JODHPUR,2008
13356,OM JOSHI,INC,0,Graduate,60,5392859,44267,PHALODI,RAJASTHAN,JODHPUR,2008
13357,ASHOK GEHLOT,INC,0,Post Graduate,57,10750647,0,SARDARPURA,RAJASTHAN,JODHPUR,2008
13358,BABU SINGH RATHORE,BJP,0,Post Graduate,37,95000,56000,SHERGARH,RAJASTHAN,JODHPUR,2008
13359,SURYAKANTA VYAS,BJP,0,5th Pass,70,9335000,770000,SOORSAGAR,RAJASTHAN,JODHPUR,2008
13360,BHAROSI LAL,INC,1,10th Pass,61,12061845,0,HINDAUN,RAJASTHAN,KARAULI,2008
13361,ROHINI KUMARI,BJP,0,12th Pass,46,30281000,0,KARAULI,RAJASTHAN,KARAULI,2008
13362,RAMESH,BSP,0,Graduate Professional,45,7616000,3672014,SAPOTRA,RAJASTHAN,KARAULI,2008
13363,KIRODI LAL,IND,0,Graduate Professional,57,6527805,0,TODABHIM,RAJASTHAN,KARAULI,2008
13364,RAMESH CHAND,BJP,0,Post Graduate,49,6113000,0,TODABHIM,RAJASTHAN,KARAULI,2008
13365,SHANTI KUMAR DHARIWAL,INC,0,Graduate Professional,65,55135433,1300000,KOTA NORTH,RAJASTHAN,KOTA,2008
13366,OM BIRLA,BJP,0,Post Graduate,45,11985906,5.00E+05,KOTA SOUTH,RAJASTHAN,KOTA,2008
13367,BHAWANI SINGH RAJAWAT,BJP,2,Graduate,53,2660166,0,LADPURA,RAJASTHAN,KOTA,2008
13368,PREMCHAND,INC,0,12th Pass,48,5505000,3.00E+05,PIPALDA,RAJASTHAN,KOTA,2008
13369,CHANDRAKANTA MEGHWAL,BJP,0,Post Graduate,35,6211676,3118649,RAMGANJ MANDI,RAJASTHAN,KOTA,2008
13370,BHARAT SINGH KUNDANPUR,INC,0,Graduate,58,21557523,0,SANGOD,RAJASTHAN,KOTA,2008
13371,RUPA RAM,INC,2,8th Pass,63,2937500,0,DEEDWANA,RAJASTHAN,NAGAUR,2008
13372,AJAY SINGH,BJP,0,Post Graduate,50,16787380,1600000,DEGANA,RAJASTHAN,NAGAUR,2008
13373,MANJU DEVI,INC,0,12th Pass,31,4951722,591851,JAYAL,RAJASTHAN,NAGAUR,2008
13374,HANUMAN BAINIWAL,BJP,0,Graduate Professional,36,1107285,0,KHINWSAR,RAJASTHAN,NAGAUR,2008
13375,HARAJI RAM,IND,0,Others,79,11924210,0,LADNUN,RAJASTHAN,NAGAUR,2008
13376,ZAKIR HUSSAIN,INC,1,8th Pass,38,4720000,877115,MAKRANA,RAJASTHAN,NAGAUR,2008
13377,SUKHRAM,BJP,0,8th Pass,51,1345509,2400,MERTA,RAJASTHAN,NAGAUR,2008
13378,HABIBUR RAHAMAN,BJP,0,12th Pass,53,3029079,325000,NAGAUR,RAJASTHAN,NAGAUR,2008
13379,MAHENDRA CHOUDHARY,INC,0,Graduate Professional,39,5456099,0,NAWAN,RAJASTHAN,NAGAUR,2008
13380,MAAN SINGH,BJP,0,Graduate,48,20794639,5928000,PARBATSAR,RAJASTHAN,NAGAUR,2008
13381,PUSHPENDRA SINGH,BJP,0,Graduate,38,15415189,1909649,BALI,RAJASTHAN,PALI,2008
13382,DILIP CHOUDHARY,IND,1,Graduate Professional,46,1825000,0,JAITARAN,RAJASTHAN,PALI,2008
13383,KESA RAM CHOUDHARY,BJP,0,12th Pass,56,11305844,1582063,MARWAR JUNCTION,RAJASTHAN,PALI,2008
13384,GYAN CHAND PARAKH,BJP,0,Graduate,48,8886018,0,PALI,RAJASTHAN,PALI,2008
13385,SANJANA AGRI,BJP,0,Graduate,37,3681000,0,SOJAT,RAJASTHAN,PALI,2008
13386,BINA KAK,INC,0,Graduate,55,14231000,2241000,SUMERPUR,RAJASTHAN,PALI,2008
13387,NAGRAJ,INC,0,8th Pass,50,1331064,639213,DHARIAWAD,RAJASTHAN,PRATAPGARH,2008
13388,NANDLAL,BJP,0,Graduate Professional,64,7452616,297763,PRATAPGARH,RAJASTHAN,PRATAPGARH,2008
13389,HARI SINGH RAWAT(PANNA SINGH),BJP,0,10th Pass,53,19819000,171000,BHIM,RAJASTHAN,RAJSAMAND,2008
13390,GANESH SINGH PARMAR,INC,0,Post Graduate,52,10184111,0,KUMBHALGARH,RAJASTHAN,RAJSAMAND,2008
13391,KALYAN SINGH CHOUHAN,BJP,0,8th Pass,48,11492551,326728,NATHDWARA,RAJASTHAN,RAJSAMAND,2008
13392,KIRAN MAHESHWARI,BJP,0,Post Graduate,47,7940456,0,RAJSAMAND,RAJASTHAN,RAJSAMAND,2008
13393,NAWALKISHOR,INC,1,Post Graduate,44,10613422,0,BAMANWAS,RAJASTHAN,SAWAI MADHOPUR,2008
13394,RAMKESH,BSP,0,Post Graduate,53,173122843,0,GANGAPUR,RAJASTHAN,SAWAI MADHOPUR,2008
13395,ASHOK,INC,0,Post Graduate,42,2944990,272732,KHANDAR,RAJASTHAN,SAWAI MADHOPUR,2008
13396,ALAUDDIN AZAD,INC,0,Post Graduate,73,4990000,0,SAWAI MADHOPUR,RAJASTHAN,SAWAI MADHOPUR,2008
13397,AMRA RAM,CPM,0,Post Graduate,53,1734392,0,DANTARAMGARH,RAJASTHAN,SIKAR,2008
13398,PEMA RAM,CPM,0,Post Graduate,51,808000,1.00E+05,DHOD,RAJASTHAN,SIKAR,2008
13399,BHANWARUKHAN,INC,0,8th Pass,49,2561151,406589,FATEHPUR,RAJASTHAN,SIKAR,2008
13400,BANSHIDHAR,BJP,0,Graduate,54,28474568,210319,KHANDELA,RAJASTHAN,SIKAR,2008
13401,GOVIND SINGH DOTASRA,INC,0,Graduate Professional,43,4425581,752224,LACHMANGARH,RAJASTHAN,SIKAR,2008
13402,RAMESH CHAND KHANDELWAL,INC,0,12th Pass,53,12540941,0,NEEM KA THANA,RAJASTHAN,SIKAR,2008
13403,RAJENDRA PAREEK,INC,0,Graduate,60,1969376,0,SIKAR,RAJASTHAN,SIKAR,2008
13404,DEEPENDRA SINGH,INC,0,Not Given,57,12358948,0,SRIMADHOPUR,RAJASTHAN,SIKAR,2008
13405,GANGA,INC,0,8th Pass,44,1169782,145978,PINDWARA ABU,RAJASTHAN,SIROHI,2008
13406,JAGASI RAM,BJP,0,8th Pass,41,1709000,4.00E+05,REODAR,RAJASTHAN,SIROHI,2008
13407,OTARAM,BJP,0,8th Pass,48,1269985,446475,SIROHI,RAJASTHAN,SIROHI,2008
